city_id,city,country,date_time,latitude,longitude,temperature (F),humidity (%),cloudiness (%),wind speed (mph)
2028164,Deputatsky,RU,1597380124,69.3,139.9,38.53,80,99,8.7
3347019,Mossamedes,AO,1597380101,-15.2,12.15,59.97,85,0,2.28
352628,Maţāy,EG,1597379699,28.42,30.78,77.14,68,0,13.62
2610343,Vestmanna,FO,1597380077,62.16,-7.17,51.8,93,85,4.7
6166142,Thunder Bay,CA,1597379476,48.4,-89.32,66.99,93,75,3.36
5847411,Kahului,US,1597379640,20.89,-156.47,84.2,58,40,20.8
2635412,Truro,GB,1597380124,50.27,-5.05,64.99,100,90,5.82
3698359,Chicama,PE,1597379661,-7.84,-79.15,59.99,87,93,6.73
5809902,Sedro-Woolley,US,1597379988,48.5,-122.24,57.2,71,1,3.53
2361373,Diapaga,BF,1597380124,12.07,1.79,73.29,93,100,5.68
3672086,Pizarro,CO,1597380125,4.95,-77.37,77.54,90,100,9.26
610529,Atyrau,KZ,1597380125,47.12,51.88,69.8,83,9,11.18
3394023,Natal,BR,1597380042,-5.79,-35.21,69.8,100,40,3.36
4891382,Evanston,US,1597380029,42.04,-87.69,75.2,73,1,5.82
2166368,Forbes,AU,1597380125,-33.38,148.02,54.0,80,100,1.99
1272061,Ellenabad,IN,1597380125,29.45,74.65,92.03,57,2,9.15
157045,Kirya,TZ,1597380126,-3.92,37.48,67.35,67,87,8.3
3421193,Paamiut,GL,1597379683,61.99,-49.67,42.49,82,0,18.32
2413419,Gunjur,GM,1597380126,13.2,-16.73,77.0,88,40,5.82
60019,Eyl,SO,1597379722,7.98,49.82,81.52,50,75,27.18
3140056,Sauda,NO,1597380126,59.65,6.35,64.0,99,34,1.86
4840035,Old Saybrook,US,1597380096,41.29,-72.38,71.01,94,1,5.73
1734705,Kuala Terengganu,MY,1597380126,5.33,103.14,78.8,94,40,1.12
1276731,Bāsudebpur,IN,1597380126,21.14,86.74,90.77,65,97,9.26
2126785,Belaya Gora,RU,1597380127,68.53,146.42,47.77,60,97,14.41
1283334,Birin,NP,1597380127,26.89,88.07,76.26,75,100,5.57
328709,Shambu,ET,1597380127,9.57,37.1,55.71,100,92,0.18
